0.7,0.62,0.54,0.5,0.58,0.54,0.62,0.7,0.54,0.62,0.66,0.66,0.72,0.64,0.56,0.58,0.56,0.58,0.54,0.58,0.58,0.54,0.6,0.6,0.44,0.52,0.58,0.58,0.68,0.48,0.58,0.42,0.4,0.44,0.46,0.48,0.64,0.62,0.66,0.6,0.6,0.62,0.62,0.56,0.56,0.6,0.6,0.56,0.58,0.56,0.66
0.78,0.66,0.62,0.64,0.68,0.62,0.64,0.64,0.56,0.68,0.7,0.64,0.72,0.56,0.66,0.66,0.62,0.58,0.5,0.5,0.62,0.74,0.54,0.56,0.54,0.62,0.58,0.54,0.62,0.58,0.48,0.46,0.6,0.6,0.54,0.58,0.54,0.66,0.54,0.54,0.54,0.52,0.62,0.66,0.6,0.5,0.6,0.62,0.48,0.56,0.58
0.68,0.6,0.58,0.54,0.72,0.6,0.6,0.52,0.62,0.62,0.7,0.54,0.52,0.56,0.48,0.62,0.5,0.54,0.56,0.64,0.66,0.54,0.5,0.5,0.54,0.54,0.64,0.54,0.6,0.54,0.6,0.66,0.6,0.44,0.5,0.58,0.7,0.58,0.62,0.66,0.58,0.52,0.62,0.66,0.6,0.7,0.66,0.62,0.48,0.56,0.64
0.56,0.5,0.42,0.56,0.66,0.64,0.64,0.68,0.54,0.68,0.64,0.52,0.54,0.62,0.64,0.6,0.62,0.54,0.58,0.56,0.6,0.62,0.54,0.62,0.62,0.66,0.58,0.54,0.6,0.52,0.6,0.56,0.68,0.6,0.58,0.46,0.54,0.68,0.52,0.6,0.66,0.64,0.56,0.62,0.6,0.58,0.62,0.56,0.58,0.58,0.46
0.7,0.68,0.58,0.68,0.62,0.58,0.6,0.58,0.48,0.66,0.58,0.52,0.46,0.7,0.62,0.56,0.5,0.64,0.68,0.64,0.64,0.68,0.74,0.64,0.66,0.7,0.64,0.54,0.6,0.66,0.66,0.68,0.64,0.68,0.56,0.72,0.7,0.64,0.6,0.66,0.58,0.62,0.52,0.56,0.62,0.64,0.56,0.54,0.56,0.8,0.56
0.7,0.66,0.76,0.72,0.62,0.7,0.56,0.6,0.72,0.72,0.56,0.58,0.58,0.64,0.58,0.56,0.6,0.58,0.64,0.68,0.64,0.64,0.56,0.58,0.64,0.52,0.66,0.64,0.7,0.46,0.6,0.62,0.5,0.54,0.6,0.36,0.4,0.34,0.46,0.42,0.44,0.5,0.62,0.66,0.6,0.72,0.48,0.4,0.5,0.64,0.64
0.74,0.66,0.52,0.58,0.42,0.36,0.42,0.32,0.32,0.42,0.44,0.46,0.48,0.5,0.6,0.66,0.54,0.58,0.64,0.68,0.68,0.62,0.6,0.5,0.62,0.64,0.62,0.5,0.56,0.6,0.6,0.6,0.64,0.72,0.62,0.54,0.66,0.66,0.52,0.62,0.6,0.64,0.6,0.56,0.52,0.56,0.56,0.58,0.5,0.64,0.72
0.72,0.62,0.62,0.58,0.58,0.6,0.44,0.52,0.46,0.36,0.4,0.54,0.64,0.66,0.5,0.5,0.56,0.64,0.62,0.56,0.62,0.6,0.58,0.52,0.6,0.46,0.6,0.56,0.62,0.62,0.4,0.3,0.4,0.44,0.54,0.52,0.64,0.52,0.62,0.44,0.54,0.58,0.58,0.52,0.58,0.52,0.58,0.58,0.72,0.54,0.48
0.62,0.48,0.48,0.58,0.52,0.52,0.58,0.68,0.62,0.62,0.64,0.58,0.62,0.56,0.56,0.54,0.54,0.54,0.64,0.58,0.6,0.58,0.6,0.56,0.6,0.58,0.58,0.58,0.6,0.62,0.6,0.64,0.64,0.5,0.6,0.58,0.58,0.52,0.68,0.56,0.58,0.56,0.68,0.58,0.54,0.66,0.66,0.68,0.62,0.64,0.44
0.72,0.68,0.72,0.56,0.58,0.54,0.48,0.58,0.54,0.6,0.52,0.6,0.62,0.6,0.52,0.52,0.52,0.66,0.6,0.7,0.52,0.58,0.62,0.66,0.66,0.56,0.62,0.6,0.66,0.58,0.62,0.58,0.68,0.54,0.6,0.5,0.58,0.62,0.62,0.66,0.54,0.52,0.58,0.62,0.66,0.62,0.66,0.66,0.68,0.58,0.6
0.76,0.62,0.54,0.58,0.58,0.5,0.58,0.6,0.58,0.62,0.52,0.48,0.48,0.58,0.62,0.6,0.56,0.52,0.72,0.6,0.66,0.66,0.6,0.56,0.64,0.56,0.52,0.5,0.72,0.58,0.6,0.64,0.54,0.56,0.68,0.6,0.58,0.56,0.6,0.54,0.58,0.52,0.56,0.52,0.56,0.52,0.58,0.66,0.54,0.58,0.5
0.74,0.58,0.68,0.58,0.52,0.52,0.52,0.58,0.56,0.58,0.56,0.5,0.58,0.5,0.66,0.56,0.5,0.58,0.66,0.52,0.56,0.54,0.52,0.62,0.5,0.6,0.52,0.56,0.58,0.48,0.5,0.54,0.48,0.56,0.58,0.5,0.5,0.6,0.48,0.5,0.58,0.5,0.54,0.52,0.5,0.56,0.56,0.54,0.58,0.6,0.58
0.66,0.64,0.64,0.6,0.66,0.7,0.58,0.56,0.72,0.52,0.64,0.62,0.54,0.48,0.46,0.46,0.6,0.62,0.56,0.58,0.72,0.54,0.6,0.66,0.58,0.52,0.62,0.58,0.6,0.52,0.58,0.46,0.5,0.56,0.58,0.56,0.5,0.46,0.52,0.6,0.62,0.56,0.52,0.64,0.68,0.6,0.54,0.54,0.52,0.6,0.48
0.6,0.56,0.5,0.58,0.72,0.62,0.66,0.58,0.5,0.54,0.56,0.66,0.58,0.64,0.64,0.5,0.58,0.54,0.56,0.56,0.56,0.54,0.52,0.52,0.64,0.44,0.42,0.42,0.52,0.5,0.54,0.54,0.56,0.62,0.64,0.5,0.64,0.66,0.42,0.44,0.54,0.54,0.62,0.56,0.52,0.52,0.5,0.66,0.48,0.56,0.56
0.7,0.66,0.64,0.7,0.64,0.54,0.48,0.56,0.58,0.56,0.58,0.54,0.62,0.5,0.5,0.62,0.56,0.46,0.44,0.46,0.42,0.46,0.5,0.56,0.54,0.54,0.6,0.48,0.56,0.48,0.44,0.48,0.56,0.5,0.62,0.56,0.62,0.62,0.6,0.54,0.56,0.54,0.56,0.6,0.52,0.62,0.46,0.6,0.58,0.52,0.54
0.7,0.74,0.6,0.68,0.56,0.58,0.6,0.6,0.54,0.64,0.66,0.62,0.56,0.52,0.62,0.6,0.52,0.64,0.54,0.56,0.58,0.56,0.58,0.52,0.6,0.52,0.5,0.52,0.58,0.54,0.54,0.58,0.44,0.48,0.38,0.38,0.42,0.42,0.44,0.44,0.5,0.58,0.54,0.48,0.5,0.52,0.5,0.56,0.48,0.56,0.54
0.66,0.62,0.64,0.52,0.66,0.54,0.54,0.7,0.62,0.58,0.66,0.64,0.56,0.58,0.68,0.6,0.5,0.66,0.62,0.62,0.6,0.64,0.54,0.58,0.58,0.66,0.46,0.6,0.5,0.64,0.56,0.64,0.52,0.64,0.56,0.6,0.66,0.64,0.54,0.54,0.56,0.62,0.64,0.5,0.48,0.56,0.68,0.62,0.58,0.54,0.58
0.7,0.68,0.66,0.6,0.62,0.68,0.68,0.56,0.5,0.62,0.6,0.56,0.58,0.56,0.56,0.52,0.7,0.54,0.5,0.6,0.54,0.58,0.66,0.68,0.58,0.62,0.66,0.6,0.56,0.68,0.6,0.54,0.54,0.62,0.66,0.56,0.62,0.56,0.56,0.58,0.56,0.6,0.6,0.56,0.44,0.44,0.42,0.46,0.68,0.54,0.58
0.7,0.7,0.6,0.6,0.78,0.6,0.58,0.64,0.54,0.58,0.58,0.68,0.54,0.62,0.6,0.68,0.66,0.54,0.58,0.46,0.48,0.56,0.52,0.54,0.66,0.56,0.52,0.64,0.58,0.52,0.56,0.54,0.68,0.5,0.72,0.46,0.64,0.5,0.5,0.48,0.56,0.52,0.64,0.56,0.64,0.56,0.46,0.44,0.42,0.48,0.38
0.64,0.64,0.58,0.68,0.6,0.64,0.76,0.6,0.62,0.64,0.58,0.58,0.54,0.56,0.54,0.58,0.66,0.64,0.6,0.56,0.68,0.72,0.66,0.64,0.68,0.58,0.6,0.52,0.52,0.64,0.52,0.62,0.54,0.62,0.64,0.74,0.56,0.54,0.62,0.6,0.64,0.6,0.52,0.58,0.56,0.6,0.62,0.68,0.6,0.58,0.64
0.62,0.54,0.66,0.46,0.36,0.48,0.54,0.46,0.58,0.52,0.5,0.56,0.46,0.56,0.56,0.6,0.44,0.5,0.48,0.48,0.5,0.5,0.52,0.52,0.58,0.6,0.52,0.54,0.56,0.66,0.58,0.52,0.52,0.6,0.56,0.56,0.6,0.52,0.5,0.5,0.5,0.62,0.58,0.52,0.52,0.46,0.4,0.36,0.42,0.42,0.54
0.6,0.5,0.56,0.54,0.6,0.54,0.62,0.58,0.56,0.64,0.52,0.66,0.56,0.58,0.54,0.54,0.56,0.58,0.68,0.58,0.6,0.68,0.62,0.58,0.68,0.64,0.66,0.6,0.54,0.6,0.5,0.6,0.6,0.68,0.6,0.62,0.56,0.68,0.64,0.6,0.62,0.74,0.68,0.58,0.5,0.52,0.56,0.6,0.58,0.66,0.6
0.68,0.64,0.62,0.62,0.6,0.62,0.64,0.6,0.52,0.66,0.56,0.6,0.52,0.64,0.62,0.58,0.52,0.66,0.58,0.66,0.62,0.46,0.68,0.6,0.58,0.62,0.62,0.48,0.58,0.6,0.56,0.62,0.58,0.68,0.5,0.68,0.52,0.64,0.52,0.62,0.54,0.58,0.58,0.54,0.66,0.62,0.58,0.58,0.56,0.58,0.6
0.74,0.64,0.5,0.6,0.62,0.7,0.54,0.6,0.58,0.66,0.52,0.62,0.52,0.6,0.58,0.52,0.62,0.66,0.5,0.42,0.42,0.46,0.4,0.42,0.46,0.46,0.38,0.44,0.52,0.52,0.56,0.56,0.7,0.62,0.52,0.62,0.54,0.56,0.56,0.6,0.66,0.6,0.48,0.56,0.56,0.6,0.62,0.62,0.62,0.56,0.54
0.68,0.54,0.6,0.62,0.6,0.66,0.58,0.54,0.52,0.52,0.58,0.62,0.54,0.62,0.7,0.66,0.64,0.58,0.6,0.58,0.48,0.62,0.68,0.56,0.5,0.54,0.72,0.58,0.6,0.6,0.6,0.72,0.56,0.7,0.66,0.7,0.62,0.6,0.58,0.62,0.58,0.58,0.6,0.64,0.58,0.56,0.62,0.62,0.66,0.56,0.58
0.74,0.66,0.62,0.6,0.58,0.66,0.6,0.6,0.52,0.48,0.52,0.6,0.58,0.44,0.62,0.62,0.54,0.5,0.5,0.48,0.4,0.42,0.38,0.46,0.5,0.48,0.46,0.68,0.7,0.56,0.46,0.6,0.54,0.6,0.54,0.6,0.62,0.62,0.5,0.56,0.58,0.54,0.58,0.6,0.54,0.64,0.56,0.54,0.52,0.54,0.56
0.8,0.56,0.58,0.66,0.54,0.54,0.6,0.52,0.54,0.44,0.54,0.66,0.52,0.62,0.56,0.6,0.5,0.6,0.52,0.5,0.56,0.6,0.66,0.62,0.58,0.5,0.62,0.62,0.54,0.48,0.56,0.58,0.66,0.54,0.58,0.56,0.5,0.5,0.58,0.64,0.62,0.62,0.56,0.56,0.52,0.56,0.58,0.58,0.52,0.52,0.6
0.66,0.62,0.66,0.68,0.64,0.6,0.64,0.54,0.56,0.5,0.56,0.68,0.58,0.6,0.54,0.66,0.6,0.6,0.64,0.58,0.66,0.7,0.68,0.58,0.58,0.54,0.58,0.62,0.64,0.58,0.62,0.56,0.58,0.56,0.74,0.62,0.76,0.6,0.7,0.54,0.56,0.64,0.68,0.66,0.64,0.66,0.62,0.64,0.64,0.6,0.56
0.72,0.7,0.66,0.66,0.68,0.58,0.52,0.62,0.62,0.58,0.72,0.6,0.62,0.62,0.5,0.66,0.54,0.5,0.64,0.56,0.54,0.56,0.54,0.54,0.64,0.6,0.68,0.62,0.58,0.66,0.62,0.6,0.56,0.58,0.56,0.64,0.54,0.6,0.62,0.52,0.68,0.5,0.56,0.64,0.64,0.5,0.68,0.68,0.64,0.58,0.62
0.64,0.48,0.48,0.58,0.68,0.66,0.72,0.56,0.56,0.52,0.6,0.54,0.52,0.5,0.6,0.6,0.66,0.54,0.56,0.56,0.64,0.58,0.62,0.64,0.62,0.62,0.6,0.58,0.58,0.68,0.58,0.62,0.58,0.58,0.58,0.56,0.56,0.66,0.6,0.56,0.56,0.52,0.68,0.62,0.52,0.56,0.58,0.6,0.56,0.56,0.62
0.7,0.64,0.58,0.62,0.56,0.58,0.68,0.58,0.64,0.6,0.58,0.66,0.58,0.6,0.54,0.66,0.54,0.56,0.6,0.7,0.54,0.52,0.44,0.32,0.44,0.36,0.48,0.54,0.56,0.6,0.52,0.6,0.56,0.66,0.58,0.48,0.56,0.6,0.54,0.56,0.6,0.5,0.4,0.4,0.42,0.48,0.46,0.5,0.6,0.6,0.58
0.76,0.6,0.54,0.56,0.54,0.56,0.64,0.5,0.6,0.7,0.6,0.62,0.6,0.56,0.58,0.6,0.48,0.58,0.66,0.58,0.62,0.56,0.66,0.68,0.54,0.52,0.5,0.62,0.62,0.68,0.6,0.52,0.58,0.56,0.6,0.64,0.44,0.58,0.7,0.6,0.56,0.52,0.64,0.6,0.56,0.52,0.46,0.54,0.56,0.5,0.64
0.7,0.6,0.58,0.72,0.64,0.66,0.52,0.6,0.5,0.56,0.54,0.56,0.56,0.54,0.56,0.5,0.54,0.54,0.56,0.66,0.56,0.48,0.6,0.48,0.42,0.5,0.58,0.54,0.54,0.52,0.52,0.56,0.64,0.48,0.48,0.48,0.6,0.58,0.56,0.52,0.58,0.56,0.4,0.46,0.62,0.66,0.58,0.62,0.62,0.5,0.66
0.6,0.58,0.6,0.5,0.48,0.54,0.62,0.56,0.54,0.52,0.66,0.62,0.58,0.62,0.72,0.62,0.66,0.68,0.58,0.56,0.66,0.62,0.5,0.58,0.66,0.6,0.58,0.64,0.64,0.5,0.58,0.54,0.64,0.68,0.6,0.56,0.46,0.58,0.62,0.56,0.58,0.58,0.5,0.62,0.62,0.68,0.5,0.66,0.6,0.56,0.58
0.66,0.58,0.64,0.66,0.54,0.64,0.56,0.48,0.64,0.6,0.68,0.6,0.4,0.4,0.38,0.46,0.48,0.48,0.6,0.56,0.52,0.56,0.58,0.7,0.62,0.44,0.54,0.58,0.56,0.56,0.56,0.68,0.58,0.54,0.46,0.6,0.58,0.54,0.54,0.58,0.6,0.62,0.54,0.54,0.56,0.6,0.6,0.68,0.58,0.58,0.64
0.6,0.62,0.64,0.64,0.64,0.6,0.6,0.58,0.74,0.7,0.62,0.68,0.58,0.58,0.68,0.54,0.56,0.58,0.68,0.56,0.58,0.56,0.56,0.54,0.62,0.58,0.52,0.54,0.68,0.66,0.6,0.52,0.44,0.62,0.66,0.58,0.54,0.54,0.54,0.64,0.56,0.48,0.62,0.6,0.64,0.56,0.68,0.46,0.58,0.58,0.52
0.72,0.6,0.56,0.66,0.68,0.6,0.62,0.6,0.62,0.7,0.7,0.7,0.64,0.5,0.6,0.48,0.64,0.48,0.54,0.72,0.56,0.54,0.68,0.7,0.58,0.58,0.64,0.5,0.62,0.58,0.6,0.54,0.6,0.74,0.64,0.62,0.58,0.54,0.6,0.58,0.6,0.6,0.56,0.62,0.6,0.66,0.66,0.56,0.68,0.64,0.54
0.8,0.68,0.6,0.72,0.68,0.64,0.68,0.56,0.58,0.6,0.52,0.64,0.54,0.52,0.56,0.72,0.66,0.52,0.42,0.46,0.4,0.44,0.44,0.44,0.48,0.52,0.52,0.52,0.54,0.54,0.58,0.5,0.64,0.56,0.62,0.48,0.54,0.6,0.58,0.54,0.58,0.58,0.48,0.66,0.64,0.52,0.54,0.48,0.6,0.58,0.5
0.74,0.66,0.74,0.6,0.52,0.5,0.68,0.64,0.62,0.52,0.58,0.64,0.58,0.44,0.56,0.58,0.6,0.56,0.62,0.64,0.54,0.52,0.52,0.5,0.62,0.58,0.58,0.54,0.54,0.56,0.52,0.56,0.54,0.66,0.6,0.52,0.56,0.58,0.52,0.54,0.58,0.58,0.5,0.6,0.6,0.56,0.6,0.6,0.66,0.52,0.62
0.74,0.72,0.58,0.52,0.62,0.64,0.5,0.6,0.54,0.7,0.56,0.62,0.58,0.5,0.46,0.56,0.62,0.52,0.58,0.54,0.5,0.56,0.52,0.56,0.5,0.66,0.54,0.66,0.56,0.68,0.56,0.6,0.6,0.64,0.62,0.56,0.64,0.66,0.68,0.68,0.64,0.6,0.6,0.64,0.58,0.62,0.6,0.64,0.6,0.56,0.58
0.72,0.62,0.58,0.68,0.64,0.62,0.62,0.6,0.6,0.64,0.56,0.66,0.7,0.66,0.58,0.64,0.6,0.66,0.66,0.56,0.56,0.6,0.54,0.54,0.58,0.62,0.52,0.46,0.54,0.58,0.6,0.64,0.58,0.68,0.52,0.64,0.68,0.6,0.5,0.7,0.54,0.52,0.68,0.68,0.6,0.62,0.6,0.72,0.58,0.6,0.58
